ticket_id,opened_at,category,priority,requester_employee_id,requester_office,first_response_hours,resolution_hours,status,notes
ARC-30142,2024-04-09T15:46:00,Access / SSO,P3,VL-1196,Chicago,1.5,45.9,Resolved,
ARC-30057,2024-04-10T08:32:00,Search,P4,VL-1222,New York,3.6,61.3,Closed - no response,
ARC-30091,2024-04-10T08:49:00,How-to,P3,VL-1079,New York,1.8,40.8,Resolved,
ARC-30134,2024-04-10T18:39:00,How-to,P3,VL-1227,New York,2.4,43.1,Resolved,
ARC-30171,2024-04-10T18:59:00,Filing error,P2,VL-1184,New York,1.0,30.9,Resolved,Workaround provided
ARC-30154,2024-04-11T13:27:00,Access / SSO,P3,VL-1226,New York,0.2,11.0,Resolved,
ARC-30104,2024-04-11T15:35:00,Search,P2,VL-1189,Mexico City,1.2,26.1,Resolved,Repeat issue
ARC-30153,2024-04-11T16:15:00,Performance,P3,VL-1086,New York,1.5,25.1,Resolved,
ARC-30137,2024-04-12T08:01:00,Access / SSO,P3,VL-1197,"Washington, DC",1.9,36.8,Resolved,
ARC-30155,2024-04-12T09:12:00,Outlook add-in,P3,VL-1107,Dublin,3.0,15.5,Resolved,
ARC-30133,2024-04-12T16:14:00,Outlook add-in,P3,VL-1114,New York,1.6,36.9,Resolved,
ARC-30088,2024-04-14T09:21:00,Integration,P3,VL-1116,New York,2.9,12.2,Resolved,
ARC-30055,2024-04-14T10:10:00,Filing error,P3,VL-1076,Chicago,2.0,38.0,Resolved,
ARC-30064,2024-04-14T13:54:00,Search,P2,VL-1012,Singapore,1.2,8.4,Resolved,
ARC-30103,2024-04-14T14:26:00,How-to,P3,VL-1036,Houston,1.5,16.1,Resolved,
ARC-30100,2024-04-14T18:33:00,Search,P3,VL-1005,New York,0.3,10.9,Resolved,
ARC-30109,2024-04-15T10:26:00,How-to,P2,VL-1095,"Washington, DC",1.7,9.4,Resolved,Escalated to account manager
ARC-30146,2024-04-15T10:57:00,Filing error,P4,VL-1030,New York,1.8,59.5,Resolved,
ARC-30128,2024-04-15T15:05:00,Outlook add-in,P4,VL-1185,San Francisco,2.9,49.7,Resolved,
ARC-30053,2024-04-15T17:29:00,How-to,P4,VL-1056,San Francisco,1.9,54.8,Resolved,
ARC-30105,2024-04-16T12:37:00,Integration,P3,VL-1072,London,1.3,36.8,Closed - no response,
ARC-30089,2024-04-16T13:22:00,Access / SSO,P3,VL-1144,Houston,1.9,18.9,Resolved,
ARC-30145,2024-04-16T16:57:00,How-to,P2,VL-1133,New York,1.3,16.9,Resolved,
ARC-30166,2024-04-16T18:48:00,How-to,P3,VL-1175,New York,1.5,37.7,Resolved,
ARC-30139,2024-04-17T08:01:00,How-to,P3,VL-1117,"Washington, DC",2.9,40.0,Resolved,
ARC-30108,2024-04-17T13:07:00,Outlook add-in,P3,VL-1051,San Francisco,3.4,25.6,Resolved,
ARC-30093,2024-04-17T16:22:00,Performance,P3,VL-1227,New York,0.8,31.1,Resolved,
ARC-30122,2024-04-17T17:35:00,Outlook add-in,P2,VL-1001,New York,2.7,16.2,Resolved,Workaround provided
ARC-30069,2024-04-17T18:40:00,Access / SSO,P2,VL-1068,Mexico City,1.9,12.1,Resolved,
ARC-30073,2024-04-18T12:18:00,Filing error,P3,VL-1090,New York,0.4,32.8,Closed - no response,
ARC-30148,2024-04-18T18:57:00,Filing error,P3,VL-1100,New York,2.0,27.2,Resolved,
ARC-30116,2024-04-19T13:22:00,How-to,P3,VL-1189,Mexico City,2.2,33.0,Resolved,
ARC-30113,2024-04-20T08:49:00,Performance,P3,VL-1115,Chicago,1.9,33.7,Closed - no response,
ARC-30092,2024-04-20T10:00:00,Performance,P3,VL-1093,New York,1.5,46.7,Resolved,
ARC-30063,2024-04-20T10:07:00,Performance,P4,VL-1115,Chicago,1.8,74.9,Resolved,
ARC-30121,2024-04-20T11:05:00,Search,P2,VL-1125,San Francisco,1.8,32.6,Resolved,Workaround provided
ARC-30160,2024-04-20T13:30:00,Access / SSO,P3,VL-1107,Dublin,1.6,38.6,Resolved,
ARC-30144,2024-04-20T15:38:00,Search,P3,VL-1079,New York,1.9,31.6,Resolved,
ARC-30152,2024-04-20T18:02:00,How-to,P3,VL-1157,San Francisco,1.1,10.5,Resolved,
ARC-30097,2024-04-21T08:12:00,Outlook add-in,P4,VL-1084,Los Angeles,2.2,20.2,Resolved,
ARC-30165,2024-04-21T08:17:00,Search,P2,VL-1035,New York,1.9,27.1,Resolved,
ARC-30068,2024-04-21T12:01:00,How-to,P2,VL-1076,Chicago,2.2,30.3,Resolved,Workaround provided
ARC-30066,2024-04-21T14:44:00,Performance,P2,VL-1151,"Washington, DC",0.2,11.3,Resolved,
ARC-30164,2024-04-21T18:05:00,Access / SSO,P4,VL-1207,New York,1.7,51.2,Resolved,
ARC-30074,2024-04-22T09:48:00,Search,P3,VL-1102,San Francisco,1.8,22.3,Resolved,
ARC-30118,2024-04-22T13:48:00,Access / SSO,P3,VL-1062,"Washington, DC",1.9,39.7,Resolved,
ARC-30159,2024-04-23T12:21:00,Access / SSO,P2,VL-1035,New York,2.9,28.0,Resolved,
ARC-30096,2024-04-23T13:07:00,How-to,P4,VL-1151,"Washington, DC",1.0,42.4,Resolved,
ARC-30077,2024-04-23T13:49:00,Mobile,P3,VL-1036,Houston,2.5,40.9,Resolved,
ARC-30114,2024-04-23T14:02:00,Performance,P3,VL-1012,Singapore,2.6,45.0,Resolved,
ARC-30078,2024-04-23T17:10:00,Mobile,P2,VL-1042,New York,3.9,49.0,Resolved,Repeat issue
ARC-30167,2024-04-23T18:47:00,Access / SSO,P2,VL-1144,Houston,1.0,8.5,Resolved,Escalated to account manager
ARC-30161,2024-04-23T18:53:00,Search,P3,VL-1196,Chicago,1.7,43.6,Resolved,
ARC-30107,2024-04-24T09:13:00,How-to,P4,VL-1008,New York,2.3,58.1,Closed - no response,
ARC-30090,2024-04-24T09:58:00,Search,P3,VL-1006,New York,1.5,35.2,Resolved,
ARC-30151,2024-04-24T13:08:00,Performance,P4,VL-1110,London,1.3,57.7,Resolved,
ARC-30169,2024-04-24T16:15:00,Performance,P3,VL-1050,New York,1.7,39.3,Resolved,
ARC-30082,2024-04-25T11:54:00,Mobile,P3,VL-1003,New York,0.4,36.8,Resolved,
ARC-30141,2024-04-25T11:54:00,Mobile,P3,VL-1026,New York,1.6,25.7,Resolved,
ARC-30099,2024-04-25T16:06:00,Search,P2,VL-1003,New York,3.4,30.3,Resolved,
ARC-30111,2024-04-26T09:07:00,Performance,P2,VL-1131,New York,3.2,43.9,Resolved,
ARC-30119,2024-04-26T11:32:00,Outlook add-in,P3,VL-1202,New York,1.4,40.8,Resolved,
ARC-30062,2024-04-26T12:12:00,Search,P3,VL-1147,New York,1.2,34.4,Resolved,
ARC-30138,2024-04-26T14:28:00,How-to,P2,VL-1215,New York,4.0,7.2,Resolved,
ARC-30123,2024-04-26T14:52:00,How-to,P3,VL-1142,New York,1.3,34.2,Resolved,
ARC-30149,2024-04-26T17:06:00,Filing error,P3,VL-1211,Houston,2.8,38.7,Resolved,
ARC-30115,2024-04-27T12:04:00,How-to,P3,VL-1205,New York,1.3,18.2,Resolved,
ARC-30072,2024-04-27T12:59:00,Search,P4,VL-1072,London,2.8,61.9,Resolved,
ARC-30081,2024-04-27T14:09:00,Search,P3,VL-1177,New York,1.7,44.2,Resolved,
ARC-30156,2024-04-27T15:05:00,How-to,P3,VL-1111,Dublin,2.9,46.0,Resolved,
ARC-30067,2024-04-27T15:41:00,Integration,P4,VL-1127,Houston,0.3,51.7,Resolved,
ARC-30054,2024-04-28T08:05:00,Outlook add-in,P4,VL-1155,Chicago,0.6,61.2,Resolved,
ARC-30060,2024-04-28T08:07:00,Outlook add-in,P3,VL-1045,Houston,2.3,23.2,Resolved,
ARC-30234,2024-05-01T11:30:00,Outlook add-in,P4,VL-1230,New York,3.0,71.7,Resolved,
ARC-30175,2024-05-01T13:40:00,Outlook add-in,P3,VL-1158,San Francisco,1.6,29.6,Closed - no response,
ARC-30194,2024-05-01T17:11:00,Performance,P3,VL-1060,Houston,1.7,32.8,Resolved,
ARC-30185,2024-05-01T17:14:00,How-to,P4,VL-1132,Houston,3.0,75.7,Resolved,
ARC-30227,2024-05-01T18:15:00,How-to,P3,VL-1184,New York,2.3,31.0,Resolved,
ARC-30205,2024-05-02T08:29:00,Search,P3,VL-1154,London,1.0,51.3,Resolved,
ARC-30233,2024-05-02T10:18:00,Access / SSO,P2,VL-1175,New York,1.6,22.5,Resolved,Repeat issue
ARC-30210,2024-05-02T11:18:00,Mobile,P4,VL-1107,Dublin,1.5,72.7,Resolved,
ARC-30232,2024-05-02T11:47:00,How-to,P3,VL-1007,London,2.8,50.7,Resolved,
ARC-30259,2024-05-02T14:51:00,Integration,P3,VL-1004,"Washington, DC",2.0,24.4,Resolved,
ARC-30243,2024-05-02T17:28:00,Access / SSO,P3,VL-1205,New York,2.2,44.1,Resolved,
ARC-30242,2024-05-03T08:09:00,Performance,P3,VL-1196,Chicago,2.7,22.3,Resolved,
ARC-30237,2024-05-03T10:51:00,How-to,P3,VL-1191,New York,2.2,28.2,Resolved,
ARC-30192,2024-05-03T16:12:00,Integration,P2,VL-1006,New York,3.3,3.8,Resolved,Repeat issue
ARC-30272,2024-05-03T17:00:00,Performance,P3,VL-1168,New York,1.3,26.2,Resolved,
ARC-30222,2024-05-03T18:02:00,Integration,P3,VL-1172,New York,3.9,6.6,Resolved,
ARC-30252,2024-05-04T08:05:00,Filing error,P3,VL-1033,New York,2.3,55.6,Resolved,
ARC-30245,2024-05-04T08:59:00,How-to,P4,VL-1132,Houston,1.5,64.4,Resolved,
ARC-30239,2024-05-04T11:06:00,Integration,P3,VL-1008,New York,1.8,21.6,Resolved,
ARC-30224,2024-05-04T13:20:00,Search,P3,VL-1008,New York,0.9,57.2,Resolved,
ARC-30215,2024-05-04T15:10:00,Search,P3,VL-1072,London,1.6,46.3,Resolved,
ARC-30258,2024-05-05T09:51:00,Access / SSO,P3,VL-1196,Chicago,1.4,28.8,Resolved,
ARC-30221,2024-05-05T12:23:00,Search,P4,VL-1165,New York,2.0,65.9,Closed - no response,
ARC-30269,2024-05-05T16:17:00,How-to,P4,VL-1201,New York,0.8,58.3,Resolved,
ARC-30263,2024-05-05T16:20:00,How-to,P3,VL-1145,New York,1.7,21.7,Resolved,
ARC-30270,2024-05-06T08:22:00,How-to,P3,VL-1051,San Francisco,1.7,23.6,Resolved,
ARC-30264,2024-05-06T10:07:00,Access / SSO,P3,VL-1179,New York,0.9,53.6,Resolved,
ARC-30241,2024-05-06T16:50:00,How-to,P3,VL-1179,New York,1.0,36.4,Resolved,
ARC-30277,2024-05-07T08:13:00,Mobile,P3,VL-1098,Chicago,1.5,37.7,Resolved,
ARC-30229,2024-05-08T14:48:00,Outlook add-in,P3,VL-1209,Los Angeles,1.1,44.4,Resolved,
ARC-30188,2024-05-08T15:58:00,Performance,P2,VL-1089,New York,2.6,15.1,Resolved,Workaround provided
ARC-30260,2024-05-08T16:21:00,Filing error,P4,VL-1144,Houston,2.1,51.1,Resolved,
ARC-30187,2024-05-09T09:19:00,Search,P4,VL-1185,San Francisco,1.0,77.5,Resolved,
ARC-30285,2024-05-09T15:47:00,Access / SSO,P2,VL-1086,New York,1.7,10.8,Resolved,Escalated to account manager
ARC-30223,2024-05-10T10:27:00,Filing error,P4,VL-1196,Chicago,0.2,68.0,Resolved,
ARC-30268,2024-05-10T11:20:00,Filing error,P3,VL-1185,San Francisco,2.5,59.3,Resolved,
ARC-30257,2024-05-10T11:29:00,Search,P3,VL-1017,New York,0.7,29.1,Resolved,
ARC-30250,2024-05-10T14:31:00,Mobile,P4,VL-1152,Chicago,2.3,62.1,Resolved,
ARC-30206,2024-05-10T14:43:00,Access / SSO,P3,VL-1209,Los Angeles,2.6,40.6,Resolved,
ARC-30189,2024-05-10T15:47:00,Search,P3,VL-1139,New York,1.7,28.0,Resolved,
ARC-30266,2024-05-10T16:40:00,Search,P3,VL-1144,Houston,2.0,53.0,Resolved,
ARC-30173,2024-05-10T18:57:00,Mobile,P2,VL-1068,Mexico City,0.8,43.3,Resolved,Escalated to account manager
ARC-30261,2024-05-11T10:25:00,Integration,P3,VL-1012,Singapore,2.7,35.4,Resolved,
ARC-30247,2024-05-11T11:16:00,Integration,P3,VL-1048,New York,2.5,23.2,Resolved,
ARC-30216,2024-05-11T13:21:00,How-to,P3,VL-1132,Houston,2.4,38.0,Resolved,
ARC-30256,2024-05-11T17:42:00,Outlook add-in,P2,VL-1174,New York,1.3,11.0,Resolved,
ARC-30180,2024-05-11T17:56:00,Access / SSO,P3,VL-1012,Singapore,1.8,30.4,Resolved,
ARC-30184,2024-05-12T11:20:00,How-to,P4,VL-1132,Houston,2.2,72.8,Resolved,
ARC-30198,2024-05-12T16:05:00,Search,P3,VL-1192,New York,0.9,39.7,Resolved,
ARC-30225,2024-05-13T14:19:00,Mobile,P3,VL-1018,New York,1.4,8.1,Resolved,
ARC-30249,2024-05-13T14:24:00,Search,P3,VL-1018,New York,0.7,42.9,Resolved,
ARC-30202,2024-05-13T14:51:00,Performance,P2,VL-1133,New York,1.5,3.6,Resolved,
ARC-30253,2024-05-13T16:59:00,Outlook add-in,P2,VL-1001,New York,1.7,37.8,Resolved,
ARC-30267,2024-05-14T08:38:00,Performance,P3,VL-1172,New York,1.5,22.3,Resolved,
ARC-30278,2024-05-14T09:14:00,Access / SSO,P3,VL-1079,New York,0.5,3.2,Resolved,
ARC-30193,2024-05-14T09:20:00,Search,P4,VL-1157,San Francisco,1.3,58.0,Resolved,
ARC-30236,2024-05-14T16:02:00,Filing error,P2,VL-1062,"Washington, DC",3.1,14.6,Resolved,Workaround provided
ARC-30281,2024-05-14T16:45:00,Integration,P3,VL-1222,New York,2.0,11.1,Closed - no response,
ARC-30214,2024-05-14T17:16:00,Search,P4,VL-1022,San Francisco,2.1,57.5,Resolved,
ARC-30196,2024-05-14T17:25:00,How-to,P2,VL-1160,Atlanta,1.6,2.2,Resolved,Workaround provided
ARC-30220,2024-05-15T08:05:00,Access / SSO,P4,VL-1106,Dublin,3.7,51.9,Resolved,
ARC-30279,2024-05-15T08:35:00,Outlook add-in,P3,VL-1018,New York,2.0,45.3,Resolved,
ARC-30209,2024-05-15T09:31:00,Search,P2,VL-1087,New York,1.5,10.2,Resolved,Escalated to account manager
ARC-30199,2024-05-15T12:02:00,How-to,P3,VL-1156,New York,3.2,20.1,Resolved,
ARC-30181,2024-05-15T15:28:00,Performance,P4,VL-1158,San Francisco,3.8,71.0,Resolved,
ARC-30238,2024-05-15T16:37:00,How-to,P3,VL-1080,Houston,2.2,40.8,Resolved,
ARC-30235,2024-05-16T08:46:00,How-to,P2,VL-1017,New York,0.2,31.9,Resolved,
ARC-30274,2024-05-16T09:08:00,Outlook add-in,P3,VL-1106,Dublin,1.8,11.1,Resolved,
ARC-30280,2024-05-16T09:35:00,Search,P3,VL-1172,New York,1.8,22.1,Resolved,
ARC-30174,2024-05-16T10:13:00,Filing error,P2,VL-1110,London,0.6,36.9,Resolved,
ARC-30190,2024-05-16T10:31:00,Filing error,P3,VL-1060,Houston,0.9,34.8,Resolved,
ARC-30230,2024-05-16T10:34:00,How-to,P3,VL-1114,New York,1.8,46.4,Resolved,
ARC-30203,2024-05-16T13:04:00,Outlook add-in,P4,VL-1135,New York,0.8,70.6,Resolved,
ARC-30273,2024-05-16T14:16:00,Access / SSO,P2,VL-1103,New York,1.6,21.2,Resolved,Escalated to account manager
ARC-30178,2024-05-16T15:58:00,Filing error,P2,VL-1154,London,1.4,12.7,Resolved,
ARC-30228,2024-05-17T14:42:00,Performance,P4,VL-1202,New York,1.9,41.9,Closed - no response,
ARC-30195,2024-05-18T09:55:00,How-to,P2,VL-1069,London,2.2,10.3,Resolved,
ARC-30179,2024-05-18T09:57:00,How-to,P3,VL-1132,Houston,1.7,34.7,Resolved,
ARC-30208,2024-05-18T13:47:00,Search,P3,VL-1205,New York,2.4,50.5,Resolved,
ARC-30248,2024-05-18T14:37:00,Search,P3,VL-1175,New York,1.9,38.0,Resolved,
ARC-30217,2024-05-18T17:21:00,How-to,P3,VL-1105,London,2.4,50.3,Resolved,
ARC-30255,2024-05-18T18:49:00,Access / SSO,P3,VL-1205,New York,1.9,32.8,Resolved,
ARC-30204,2024-05-19T11:51:00,Integration,P3,VL-1183,San Francisco,1.6,44.8,Resolved,
ARC-30286,2024-05-19T13:29:00,Outlook add-in,P4,VL-1021,Atlanta,2.8,45.2,Resolved,
ARC-30275,2024-05-19T15:24:00,Filing error,P2,VL-1125,San Francisco,2.5,3.0,Resolved,
ARC-30182,2024-05-19T18:03:00,How-to,P3,VL-1155,Chicago,2.9,52.3,Resolved,
ARC-30211,2024-05-20T09:54:00,Filing error,P2,VL-1135,New York,1.4,33.6,Resolved,
ARC-30262,2024-05-20T12:00:00,How-to,P2,VL-1192,New York,2.1,49.9,Resolved,
ARC-30200,2024-05-20T15:08:00,How-to,P4,VL-1132,Houston,1.4,54.9,Resolved,
ARC-30254,2024-05-20T15:52:00,Search,P4,VL-1140,Atlanta,2.4,43.1,Resolved,
ARC-30207,2024-05-21T12:47:00,How-to,P4,VL-1134,New York,1.0,32.2,Resolved,
ARC-30201,2024-05-21T17:05:00,Search,P4,VL-1052,New York,1.9,62.5,Resolved,
ARC-30231,2024-05-22T09:06:00,Search,P2,VL-1074,Chicago,1.4,38.0,Resolved,
ARC-30251,2024-05-22T13:23:00,Search,P3,VL-1019,New York,0.9,44.7,Resolved,
ARC-30213,2024-05-22T13:30:00,Filing error,P2,VL-1032,New York,2.2,15.0,Resolved,Workaround provided
ARC-30183,2024-05-22T13:50:00,Mobile,P3,VL-1116,New York,2.4,36.2,Resolved,
ARC-30212,2024-05-22T14:46:00,Access / SSO,P3,VL-1155,Chicago,0.6,30.5,Resolved,
ARC-30191,2024-05-22T18:39:00,Filing error,P3,VL-1089,New York,0.4,7.0,Resolved,
ARC-30276,2024-05-23T09:54:00,How-to,P4,VL-1132,Houston,1.1,43.0,Resolved,
ARC-30240,2024-05-23T17:45:00,How-to,P3,VL-1102,San Francisco,1.7,25.0,Resolved,
ARC-30283,2024-05-24T09:06:00,Outlook add-in,P3,VL-1013,London,3.2,47.2,Resolved,
ARC-30244,2024-05-24T10:58:00,Performance,P3,VL-1033,New York,2.0,55.6,Resolved,
