employee_id,month,active_days,logins,docs_created,docs_opened,docs_edited,searches,emails_filed,mobile_sessions,avg_search_latency_ms
VL-1010,2026-05,17,22,36,264,49,110,74,0,662
VL-1010,2026-06,13,25,11,118,18,72,79,4,600
VL-1010,2026-07,13,16,23,118,28,71,84,3,615
VL-1010,2026-08,10,16,20,106,33,63,83,6,629
VL-1011,2026-01,8,13,17,99,27,30,71,4,564
VL-1011,2026-02,7,10,13,87,19,37,36,2,540
VL-1011,2026-03,8,12,14,119,19,36,36,3,1501
VL-1011,2026-04,4,7,6,43,10,17,26,0,593
VL-1011,2026-05,9,12,10,99,18,42,80,3,645
VL-1011,2026-06,5,8,7,75,12,33,16,3,604
VL-1011,2026-07,5,9,6,45,11,31,38,0,517
VL-1011,2026-08,8,11,10,103,17,52,33,5,679
VL-1012,2024-03,10,16,12,118,17,44,84,2,669
VL-1012,2024-04,15,23,43,208,66,62,60,8,736
VL-1012,2024-05,14,23,17,181,20,96,54,2,707
VL-1012,2024-06,10,16,20,109,31,52,63,3,743
VL-1012,2024-07,8,12,15,99,29,52,31,0,524
VL-1012,2024-08,9,17,10,80,12,58,76,2,675
VL-1012,2024-09,12,21,18,114,23,57,48,4,702
VL-1012,2024-10,13,20,15,154,25,80,91,8,725
VL-1012,2024-11,9,11,12,137,16,27,50,1,690
VL-1012,2024-12,9,14,16,85,19,50,29,0,754
VL-1012,2025-01,9,12,26,126,49,34,79,4,692
VL-1012,2025-02,10,18,17,119,24,31,33,6,723
VL-1012,2025-03,11,17,22,113,28,68,41,5,670
VL-1012,2025-04,11,16,10,117,15,43,78,7,610
VL-1012,2025-05,14,19,11,119,20,73,54,9,673
VL-1012,2025-06,8,13,20,110,30,45,62,2,766
VL-1012,2025-07,13,17,16,118,21,78,69,9,663
VL-1012,2025-08,10,16,15,86,22,39,76,5,725
VL-1012,2025-09,8,15,15,92,29,26,67,0,722
VL-1012,2025-10,13,17,27,176,48,73,60,8,666
VL-1012,2025-11,16,29,34,172,49,97,105,10,827
VL-1012,2025-12,6,11,7,57,11,33,26,1,685
VL-1012,2026-01,6,11,15,89,25,23,22,0,752
VL-1012,2026-02,13,22,27,175,39,43,91,8,781
VL-1012,2026-03,7,11,11,98,16,44,61,1,1548
VL-1012,2026-04,6,7,13,77,21,40,18,0,745
VL-1012,2026-05,14,21,20,159,32,80,55,6,696
VL-1012,2026-06,12,15,22,116,30,78,96,5,691
VL-1012,2026-07,9,11,11,111,15,32,40,6,750
VL-1012,2026-08,11,19,15,154,27,59,67,3,640
VL-1013,2024-03,7,13,13,106,22,34,31,2,601
VL-1013,2024-04,8,15,21,109,26,51,26,4,479
VL-1013,2024-05,12,21,15,112,23,70,37,4,539
VL-1013,2024-06,13,22,17,140,27,81,112,6,596
VL-1013,2024-07,14,17,34,211,46,60,74,8,540
VL-1013,2024-08,11,18,12,109,19,66,65,3,542
VL-1013,2024-09,9,15,11,87,14,33,59,6,632
VL-1013,2024-10,10,15,16,110,30,67,68,6,601
VL-1013,2024-11,9,13,10,79,12,52,64,0,581
VL-1013,2024-12,6,8,12,85,22,19,21,0,618
VL-1013,2025-01,12,17,32,175,49,46,78,4,645
VL-1013,2025-02,12,17,11,106,21,66,91,8,512
VL-1013,2025-03,11,21,13,102,20,69,43,1,624
VL-1013,2025-04,8,13,13,79,19,24,48,6,633
VL-1013,2025-05,15,18,20,177,30,81,76,5,591
VL-1013,2025-06,13,23,22,184,40,51,93,6,579
VL-1013,2025-07,12,21,15,149,28,79,39,2,576
VL-1013,2025-08,9,13,9,90,16,32,56,5,603
VL-1013,2025-09,6,7,9,62,14,35,28,1,514
VL-1013,2025-10,13,25,33,184,64,84,82,3,649
VL-1013,2025-11,10,16,18,122,33,57,61,7,758
VL-1013,2025-12,8,10,12,98,15,33,40,2,603
VL-1013,2026-01,13,24,16,124,31,76,92,9,658
VL-1013,2026-02,17,30,44,227,73,59,128,12,597
VL-1013,2026-03,9,11,19,95,37,28,70,3,1475
VL-1013,2026-04,12,21,24,181,43,81,107,9,649
VL-1013,2026-05,11,14,9,94,14,70,82,5,631
VL-1013,2026-06,12,21,12,113,18,54,102,4,653
VL-1013,2026-07,14,21,37,184,48,94,107,1,661
VL-1013,2026-08,11,15,29,147,51,48,49,8,646
VL-1014,2024-03,11,14,21,112,31,50,45,8,720
VL-1014,2024-04,11,20,15,95,18,50,93,3,702
VL-1014,2024-05,11,18,13,102,24,49,52,3,742
VL-1014,2024-06,11,16,15,103,22,70,90,4,593
VL-1014,2024-07,15,25,32,154,48,57,62,1,656
VL-1014,2024-08,11,17,22,157,27,56,79,3,646
VL-1014,2024-09,8,11,20,108,33,38,55,1,623
VL-1014,2024-10,8,15,11,71,16,25,45,1,699
VL-1014,2024-11,14,19,30,200,44,47,59,4,696
VL-1014,2024-12,8,9,17,88,32,31,58,0,674
VL-1014,2025-01,16,30,37,236,47,84,50,9,677
VL-1014,2025-02,11,17,22,147,33,39,97,0,696
VL-1014,2025-03,8,14,13,89,23,30,46,4,634
VL-1014,2025-04,17,30,25,250,48,62,109,8,714
VL-1014,2025-05,12,21,16,135,29,70,70,4,702
VL-1014,2025-06,10,14,18,102,35,48,67,4,691
VL-1014,2025-07,11,13,22,147,35,43,81,2,701
VL-1014,2025-08,6,11,9,75,16,33,45,4,671
VL-1014,2025-09,12,15,21,123,34,78,47,6,807
VL-1014,2025-10,12,18,16,102,31,51,58,8,666
VL-1014,2025-11,12,21,10,104,18,57,62,6,859
VL-1014,2025-12,10,17,18,116,31,58,51,5,704
VL-1014,2026-01,14,19,22,216,31,82,86,0,729
VL-1014,2026-02,14,18,22,213,34,50,117,5,732
VL-1014,2026-03,11,14,18,98,30,51,95,8,1566
VL-1014,2026-04,9,17,19,131,31,46,56,2,781
VL-1014,2026-05,12,23,12,103,23,64,54,4,657
VL-1014,2026-06,9,12,19,94,28,55,53,5,712
VL-1014,2026-07,16,28,18,160,33,53,83,7,739
VL-1014,2026-08,16,29,41,209,71,78,108,6,657
VL-1015,2024-03,8,10,17,104,21,46,64,3,513
VL-1015,2024-04,13,25,13,143,16,47,47,5,490
VL-1015,2024-05,11,13,19,105,32,43,85,7,508
VL-1015,2024-06,10,17,20,145,24,31,56,7,494
VL-1015,2024-07,10,19,17,142,23,61,56,3,444
VL-1015,2024-08,5,7,9,56,16,18,26,2,503
VL-1015,2024-09,8,12,17,92,29,51,67,2,529
VL-1015,2024-10,10,18,19,105,26,36,40,1,442
VL-1015,2024-11,15,29,36,229,55,73,118,4,508
VL-1015,2024-12,10,16,14,116,23,48,43,1,508
VL-1015,2025-01,13,17,17,141,23,46,42,5,509
VL-1015,2025-02,9,15,15,78,24,46,55,5,494
VL-1015,2025-03,11,17,21,168,40,68,58,8,491
VL-1015,2025-04,10,15,14,89,24,68,49,0,473
VL-1015,2025-05,9,14,11,78,15,28,56,4,436
VL-1015,2025-06,16,31,26,240,37,57,90,9,505
VL-1015,2025-07,7,9,6,68,11,24,58,1,546
VL-1015,2025-08,13,21,18,144,31,65,58,9,505
VL-1015,2025-09,13,19,16,141,20,81,50,2,453
VL-1015,2025-10,9,14,10,99,17,57,71,6,471
VL-1015,2025-11,14,20,31,193,40,94,74,0,661
VL-1015,2025-12,6,10,12,85,16,37,37,0,540
VL-1015,2026-01,10,12,19,116,37,36,82,7,440
VL-1015,2026-02,15,28,19,212,31,73,103,8,431
VL-1015,2026-03,11,18,14,114,26,35,95,2,1359
VL-1015,2026-04,9,17,15,135,19,50,71,0,538
VL-1015,2026-05,13,24,30,172,43,59,57,6,499
VL-1015,2026-06,18,28,25,276,42,85,82,4,464
VL-1015,2026-07,14,26,25,136,43,95,45,4,415
VL-1015,2026-08,8,10,12,82,18,34,38,2,525
VL-1016,2025-12,1,1,1,9,1,3,5,0,495
VL-1016,2026-01,1,1,1,10,1,3,8,0,438
VL-1016,2026-02,0,0,0,0,0,0,0,0,
VL-1016,2026-03,1,1,1,14,1,5,3,0,1493
VL-1016,2026-04,1,1,2,14,2,3,6,0,520
VL-1016,2026-05,1,1,1,9,1,5,6,0,465
VL-1016,2026-06,2,2,2,21,2,10,13,1,549
VL-1016,2026-07,3,5,2,27,2,13,22,0,417
VL-1016,2026-08,2,2,3,28,5,11,11,0,428
VL-1017,2024-03,11,20,15,133,21,70,75,4,458
VL-1017,2024-04,9,15,20,138,26,39,39,7,564
VL-1017,2024-05,8,11,6,71,8,45,25,5,467
VL-1017,2024-06,14,22,23,141,35,44,63,7,477
VL-1017,2024-07,9,14,16,79,28,61,61,1,481
VL-1017,2024-08,7,13,11,62,17,45,56,2,495
VL-1017,2024-09,9,13,14,112,17,35,46,0,349
VL-1017,2024-10,12,16,18,102,27,60,67,2,496
VL-1017,2024-11,12,22,14,107,27,77,36,3,455
VL-1017,2024-12,8,13,16,86,22,52,64,0,418
VL-1017,2025-01,15,27,30,150,58,93,78,7,414
VL-1017,2025-02,12,14,18,123,27,65,62,8,428
VL-1017,2025-03,6,8,10,59,16,30,36,4,545
VL-1017,2025-04,12,21,17,187,33,54,38,8,482
VL-1017,2025-05,10,14,18,93,32,55,62,2,453
VL-1017,2025-06,10,19,20,117,30,58,58,6,478
VL-1017,2025-07,11,17,26,140,36,44,79,1,487
VL-1017,2025-08,3,5,7,38,10,12,22,0,521
VL-1017,2025-09,13,24,16,143,20,46,90,1,484
VL-1017,2025-10,4,7,6,59,7,22,20,3,354
VL-1017,2025-11,15,28,18,151,24,65,81,1,556
VL-1017,2025-12,5,9,5,50,6,32,29,0,358
VL-1017,2026-01,18,26,48,259,84,74,150,11,508
VL-1017,2026-02,13,19,22,172,26,60,64,4,465
VL-1017,2026-03,11,17,14,161,19,54,59,4,1410
VL-1017,2026-04,11,21,18,93,22,58,45,3,518
VL-1017,2026-05,8,10,19,109,29,36,44,5,479
VL-1017,2026-06,10,15,20,127,27,30,66,3,512
VL-1017,2026-07,14,22,22,205,33,54,58,4,511
VL-1017,2026-08,9,15,18,139,28,53,67,2,539
VL-1018,2024-03,14,21,31,180,52,84,98,9,414
VL-1018,2024-04,10,19,17,134,31,63,83,6,482
VL-1018,2024-05,10,14,14,105,21,62,40,7,482
VL-1018,2024-06,10,15,18,113,33,52,73,2,527
VL-1018,2024-07,10,14,21,145,35,34,48,7,540
VL-1018,2024-08,8,12,8,90,13,36,46,3,512
VL-1018,2024-09,10,15,15,100,28,30,42,5,538
VL-1018,2024-10,13,22,27,149,37,83,115,2,488
VL-1018,2024-11,16,30,22,207,29,89,143,4,549
VL-1018,2024-12,7,8,13,78,16,21,40,0,486
VL-1018,2025-01,11,18,15,117,18,70,39,3,483
VL-1018,2025-02,12,23,16,120,24,37,78,8,489
VL-1018,2025-03,10,18,23,114,30,60,72,0,395
VL-1018,2025-04,13,24,31,172,53,86,71,7,587
VL-1018,2025-05,7,10,14,105,24,41,61,1,491
VL-1018,2025-06,9,12,19,121,33,60,75,2,459
VL-1018,2025-07,9,11,9,98,16,56,47,4,556
VL-1018,2025-08,11,19,15,136,20,54,95,6,519
VL-1018,2025-09,16,28,32,165,38,75,74,8,472
VL-1018,2025-10,11,21,15,101,20,58,95,6,481
VL-1018,2025-11,12,14,29,169,52,40,101,4,545
VL-1018,2025-12,10,18,17,107,22,60,34,4,525
VL-1018,2026-01,12,19,14,147,19,72,76,2,539
VL-1018,2026-02,10,17,13,152,22,43,74,4,553
VL-1018,2026-03,10,18,19,142,33,45,73,2,1330
VL-1018,2026-04,19,31,24,171,36,78,67,13,474
VL-1018,2026-05,16,26,35,234,45,49,136,3,466
VL-1018,2026-06,7,13,9,60,11,43,34,2,452
VL-1018,2026-07,9,14,18,124,33,28,64,6,529
VL-1018,2026-08,17,25,27,209,38,87,152,8,495
VL-1019,2024-03,7,10,12,93,18,48,45,0,451
VL-1019,2024-04,13,21,12,137,22,69,70,0,412
VL-1019,2024-05,12,22,26,131,36,76,48,7,431
VL-1019,2024-06,5,7,5,64,9,15,34,1,484
VL-1019,2024-07,12,17,12,106,21,69,82,5,541
VL-1019,2024-08,10,19,23,141,39,44,66,7,469
VL-1019,2024-09,10,12,24,144,46,48,84,5,540
VL-1019,2024-10,11,18,12,120,16,57,88,6,431
VL-1019,2024-11,8,12,17,111,31,32,47,1,474
VL-1019,2024-12,8,14,16,109,31,41,66,6,503
VL-1019,2025-01,9,15,15,122,22,30,39,4,462
VL-1019,2025-02,11,19,9,94,15,52,96,8,566
VL-1019,2025-03,14,21,19,126,31,60,82,9,423
VL-1019,2025-04,12,17,30,185,42,36,44,7,393
VL-1019,2025-05,11,13,12,115,23,43,46,3,473
VL-1019,2025-06,11,17,21,132,26,35,65,4,349
VL-1019,2025-07,10,14,15,130,25,31,40,2,574
VL-1019,2025-08,11,19,14,92,22,39,39,5,435
VL-1019,2025-09,18,34,42,254,57,117,82,4,457
VL-1019,2025-10,8,10,9,82,15,55,61,5,470
VL-1019,2025-11,9,14,12,90,19,42,66,1,717
VL-1019,2025-12,10,14,18,133,22,66,54,7,529
VL-1019,2026-01,13,20,36,174,63,62,91,2,456
VL-1019,2026-02,12,15,32,181,46,37,45,8,549
VL-1019,2026-03,10,13,12,86,15,43,31,6,1382
VL-1019,2026-04,11,15,24,158,44,55,84,7,430
VL-1019,2026-05,8,9,9,81,17,52,67,4,465
VL-1019,2026-06,13,23,18,126,24,90,89,8,524
VL-1019,2026-07,14,17,17,130,23,53,44,6,485
VL-1019,2026-08,11,19,13,93,18,34,83,8,465
VL-1020,2026-03,7,12,13,78,20,47,34,0,1370
VL-1020,2026-04,8,12,20,97,33,37,70,4,544
VL-1020,2026-05,9,13,16,93,27,46,56,0,546
VL-1020,2026-06,7,9,8,92,13,22,56,2,351
VL-1020,2026-07,9,14,23,118,35,50,51,5,480
VL-1020,2026-08,5,6,10,75,12,20,20,3,492
VL-1021,2024-03,3,5,2,26,2,14,14,2,490
VL-1021,2024-04,1,1,1,8,1,4,7,0,416
VL-1021,2024-05,3,3,4,45,5,9,18,0,462
VL-1021,2024-06,2,3,3,28,3,8,8,1,504
VL-1021,2024-07,2,3,2,18,3,7,17,0,510
VL-1021,2024-08,2,3,3,23,5,6,9,0,482
VL-1021,2024-09,2,3,3,26,4,6,13,1,438
VL-1021,2024-10,2,3,4,27,5,11,11,1,455
VL-1021,2024-11,1,1,0,8,0,6,7,0,495
VL-1021,2024-12,1,1,1,8,1,3,4,0,452
VL-1021,2025-01,2,2,3,29,4,7,7,0,489
VL-1021,2025-02,1,1,2,11,3,6,3,0,554
VL-1021,2025-03,1,1,2,12,3,5,5,0,479
VL-1021,2025-04,2,3,4,23,5,12,16,0,441
VL-1021,2025-05,1,1,1,11,1,6,4,0,444
VL-1021,2025-06,3,4,4,29,6,11,20,0,512
VL-1021,2025-07,1,1,1,9,1,5,6,0,457
VL-1021,2025-08,1,1,1,10,1,5,7,0,430
VL-1021,2025-09,1,1,1,13,1,3,5,0,542
VL-1021,2025-10,3,4,4,31,6,9,23,1,469
VL-1021,2025-11,2,3,5,30,8,12,17,0,577
VL-1021,2025-12,1,1,0,8,0,5,4,0,469
VL-1021,2026-01,1,1,1,13,1,5,8,0,454
VL-1021,2026-02,3,4,2,27,3,10,12,1,499
VL-1021,2026-03,2,2,2,17,3,11,6,1,1345
VL-1021,2026-04,2,2,3,18,4,9,13,1,519
VL-1021,2026-05,3,4,5,31,6,9,22,2,394
VL-1021,2026-06,2,3,2,17,2,6,7,0,468
VL-1021,2026-07,2,2,3,22,5,6,6,0,498
VL-1021,2026-08,2,3,3,21,4,9,12,1,484
VL-1022,2024-03,8,15,10,81,15,51,66,1,534
VL-1022,2024-04,13,25,27,166,33,41,78,1,445
VL-1022,2024-05,7,10,11,68,15,31,24,0,583
VL-1022,2024-06,7,12,9,78,16,22,33,3,473
VL-1022,2024-07,11,14,19,116,24,37,95,0,442
VL-1022,2024-08,11,21,18,95,30,56,76,5,450
VL-1022,2024-09,10,15,11,90,21,64,34,3,452
VL-1022,2024-10,8,12,6,68,11,28,41,3,435
VL-1022,2024-11,19,35,24,264,35,103,149,11,494
VL-1022,2024-12,5,8,7,73,10,18,37,0,489
VL-1022,2025-01,10,13,28,143,34,54,49,5,404
VL-1022,2025-02,9,13,10,96,15,56,38,3,535
VL-1022,2025-03,11,15,16,158,24,57,74,1,453
VL-1022,2025-04,8,13,12,112,16,44,32,6,467
VL-1022,2025-05,11,19,15,145,26,57,56,8,441
VL-1022,2025-06,8,11,21,120,31,27,61,5,382
VL-1022,2025-07,13,23,20,137,30,42,93,4,476
VL-1022,2025-08,12,16,11,109,18,53,72,8,464
VL-1022,2025-09,11,15,17,111,32,75,47,2,488
VL-1022,2025-10,11,21,16,96,19,39,85,5,446
VL-1022,2025-11,10,17,19,124,25,64,84,7,655
VL-1022,2025-12,6,7,5,51,9,19,26,0,441
VL-1022,2026-01,9,14,13,111,19,47,57,5,542
VL-1022,2026-02,10,13,9,90,16,62,74,3,426
VL-1022,2026-03,11,19,19,122,36,61,64,5,1346
VL-1022,2026-04,10,17,8,86,11,37,62,7,424
VL-1022,2026-05,9,12,20,123,29,34,44,2,494
VL-1022,2026-06,11,15,13,132,21,59,92,1,493
VL-1022,2026-07,14,18,31,213,57,97,114,6,508
VL-1022,2026-08,9,12,18,89,32,51,51,3,518
VL-1023,2025-11,3,5,5,37,7,18,16,2,669
VL-1023,2025-12,5,7,7,72,9,24,31,3,485
VL-1023,2026-01,6,7,15,88,23,25,22,3,492
VL-1023,2026-02,6,11,15,74,24,36,40,1,442
VL-1023,2026-03,9,16,11,86,21,51,29,2,1389
VL-1023,2026-04,6,10,13,70,25,21,23,1,483
VL-1023,2026-05,7,12,20,101,29,25,47,2,530
VL-1023,2026-06,7,11,18,108,32,24,44,2,509
VL-1023,2026-07,6,10,8,64,11,19,53,3,418
VL-1023,2026-08,8,14,15,121,19,54,56,3,566
VL-1024,2024-03,8,9,15,110,18,31,38,5,548
VL-1024,2024-04,14,24,22,213,43,80,114,10,461
VL-1024,2024-05,6,7,18,89,35,35,38,2,451
VL-1024,2024-06,9,15,14,139,20,56,73,5,544
VL-1024,2024-07,10,17,20,122,39,45,45,1,454
VL-1024,2024-08,9,12,21,103,36,40,63,4,517
VL-1024,2024-09,12,22,33,163,52,82,46,3,481
VL-1024,2024-10,8,14,12,72,21,39,71,4,488
VL-1024,2024-11,7,9,8,74,10,24,56,1,474
VL-1024,2024-12,8,11,8,85,12,48,46,2,487
VL-1024,2025-01,10,17,11,106,19,65,37,7,469
VL-1024,2025-02,13,15,20,172,24,59,59,5,496
VL-1024,2025-03,13,23,22,136,41,82,101,7,495
VL-1024,2025-04,10,16,17,135,27,66,89,1,433
VL-1024,2025-05,12,14,23,133,29,77,93,6,451
VL-1024,2025-06,12,22,27,143,40,44,65,2,580
VL-1024,2025-07,12,16,21,154,35,76,70,8,480
VL-1024,2025-08,12,23,33,167,53,42,59,7,556
VL-1024,2025-09,10,16,13,123,19,35,42,2,497
VL-1024,2025-10,7,12,8,76,13,35,40,3,410
VL-1024,2025-11,15,28,25,152,40,88,134,4,508
VL-1024,2025-12,6,9,13,64,22,18,34,3,479
VL-1024,2026-01,11,18,32,160,43,73,35,4,521
VL-1024,2026-02,18,35,28,265,34,98,56,11,447
VL-1024,2026-03,12,16,17,171,21,64,100,4,1309
VL-1024,2026-04,9,11,25,133,43,42,56,6,514
VL-1024,2026-05,10,14,12,106,23,32,60,3,503
VL-1024,2026-06,10,15,23,118,40,32,34,6,454
VL-1024,2026-07,16,20,22,233,32,87,66,2,462
VL-1024,2026-08,11,17,17,130,30,72,56,8,484
VL-1025,2024-03,6,10,11,62,17,28,53,0,488
VL-1025,2024-04,9,10,18,89,35,30,28,4,454
VL-1025,2024-05,16,26,38,211,65,81,66,7,588
VL-1025,2024-06,16,27,41,213,70,87,92,8,425
VL-1025,2024-07,12,14,19,136,26,67,65,6,383
VL-1025,2024-08,12,15,26,157,46,36,70,8,516
VL-1025,2024-09,11,14,26,128,36,37,69,1,461
VL-1025,2024-10,12,14,21,126,38,48,44,6,371
VL-1025,2024-11,13,21,36,202,43,66,54,8,470
VL-1025,2024-12,8,14,7,67,10,31,31,5,523
